,sector,rounded_salary_2016,percentage,count
278,Hospitals and Boards of Public Health,245000,0.29259686503358895,22
279,Hospitals and Boards of Public Health,250000,0.32571079595575764,24
280,Hospitals and Boards of Public Health,255000,0.26301146773427425,19
281,Hospitals and Boards of Public Health,260000,0.3246250933025718,23
282,Hospitals and Boards of Public Health,265000,0.24455452263011468,17
283,Hospitals and Boards of Public Health,270000,0.14656985818009094,10
284,Hospitals and Boards of Public Health,275000,0.2687114066635,18
285,Hospitals and Boards of Public Health,280000,0.6079934857840809,40
286,Hospitals and Boards of Public Health,285000,0.5569654610843455,36
287,Hospitals and Boards of Public Health,290000,0.6139648503766031,39
288,Hospitals and Boards of Public Health,295000,1.0569315328764335,66
289,Hospitals and Boards of Public Health,300000,1.4168419624075457,87
290,Hospitals and Boards of Public Health,305000,0.6457216529822895,39
291,Hospitals and Boards of Public Health,310000,0.4038813869851394,24
292,Hospitals and Boards of Public Health,315000,0.56429395399335,33
293,Hospitals and Boards of Public Health,320000,0.2953111216665536,17
294,Hospitals and Boards of Public Health,325000,0.24699735359978287,14
295,Hospitals and Boards of Public Health,330000,0.2687114066635,15
296,Hospitals and Boards of Public Health,335000,0.23641175273122073,13
297,Hospitals and Boards of Public Health,340000,0.22148334124991517,12
298,Hospitals and Boards of Public Health,345000,0.3183823030467531,17
299,Hospitals and Boards of Public Health,350000,0.17099816787677274,9
300,Hospitals and Boards of Public Health,355000,0.17344099884644093,9
301,Hospitals and Boards of Public Health,360000,0.21496912533080004,11
302,Hospitals and Boards of Public Health,365000,0.13869851394449345,7
303,Hospitals and Boards of Public Health,370000,0.1606839926715071,8
304,Hospitals and Boards of Public Health,375000,0.2035692474723485,10
305,Hospitals and Boards of Public Health,380000,0.1237701024631879,6
306,Hospitals and Boards of Public Health,385000,0.1253986564429667,6
307,Hospitals and Boards of Public Health,390000,0.08468480694849698,4
308,Hospitals and Boards of Public Health,395000,0.06432788220126213,3
309,Hospitals and Boards of Public Health,400000,0.13028431838230306,6
310,Hospitals and Boards of Public Health,405000,0.06595643618104091,3
311,Hospitals and Boards of Public Health,410000,0.26708285268372123,12
312,Hospitals and Boards of Public Health,415000,0.02252833005360657,1
313,Hospitals and Boards of Public Health,420000,0.0683992671507091,3
314,Hospitals and Boards of Public Health,425000,0.06921354414059849,3
315,Hospitals and Boards of Public Health,430000,0.04668521408699192,2
316,Hospitals and Boards of Public Health,435000,0.047228065413584853,2
317,Hospitals and Boards of Public Health,445000,0.31403949243400964,13
318,Hospitals and Boards of Public Health,450000,0.048856619393363644,2
319,Hospitals and Boards of Public Health,455000,0.1481984121598697,6
320,Hospitals and Boards of Public Health,460000,0.049942322046549505,2
321,Hospitals and Boards of Public Health,465000,0.15145552011942728,6
322,Hospitals and Boards of Public Health,470000,0.05102802469973536,2
323,Hospitals and Boards of Public Health,475000,0.12892719006582073,5
324,Hospitals and Boards of Public Health,485000,0.07898486801927122,3
325,Hospitals and Boards of Public Health,500000,0.05428513265929294,2
326,Hospitals and Boards of Public Health,510000,0.05537083531247879,2
327,Hospitals and Boards of Public Health,515000,0.05591368663907172,2
328,Hospitals and Boards of Public Health,520000,0.028228268982832327,1
